0	1.6481874482
10	1.595101641
20	1.5444585769
30	1.4976841385
40	1.4560265989
50	1.420539554
60	1.3920754968
70	1.3712871457
80	1.3586332
90	1.3543852621
100	1.3586332
110	1.3712871457
120	1.3920754968
130	1.420539554
140	1.4560265989
150	1.4976841385
160	1.5444585769
170	1.595101641
180	1.6481874482
190	1.7021422163
200	1.7552873539
210	1.8058951913
220	1.8522550907
230	1.8927462826
240	1.9259126997
250	1.9505344497
260	1.9656904688
270	1.9708073677
280	1.9656904688
290	1.9505344497
300	1.9259126997
310	1.8927462826
320	1.8522550907
330	1.8058951913
340	1.7552873539
350	1.7021422163
