#date (JD)	SZA (deg)	Az (deg)	LTST (hrs) 	Ls (deg) 
2455564.22125  , 87.3367681338 , 120.664162883 , 7.89279094617 , 209.927764797
2455564.2423  , 84.2830097417 , 127.206227872 , 8.38446197936 , 209.940569716
2455564.26335  , 81.4866696203 , 133.896538717 , 8.87613296185 , 209.953374965
2455564.2844  , 78.9925114786 , 140.753735641 , 9.36780389411 , 209.966180543
2455564.30546  , 76.8443375269 , 147.785044925 , 9.8594747759 , 209.978986449
2455564.32651  , 75.0834243315 , 154.984612459 , 10.351145607 , 209.991792684
2455564.34756  , 73.7464864362 , 162.332606926 , 10.8428163878 , 210.004599248
2455564.36862  , 72.8633755188 , 169.795671784 , 11.3344871179 , 210.01740614
2455564.38967  , 72.4548528397 , 177.329144316 , 11.8261577977 , 210.030213361
2455564.41072  , 72.5308451626 , 184.881068812 , 12.317828427 , 210.04302091
2455564.43177  , 73.089554394 , 192.397509974 , 12.8094990058 , 210.055828787
2455564.45283  , 74.1176251757 , 199.82823743 , 13.301169534 , 210.068636993
2455564.47388  , 75.5913313942 , 207.131720652 , 13.7928400115 , 210.081445527
2455564.49493  , 77.4785144656 , 214.278615749 , 14.2845104387 , 210.094254389
2455564.51598  , 79.7408769369 , 221.253413681 , 14.7761808263 , 210.107063579
2455564.53704  , 82.3362334362 , 228.054418532 , 15.2678511523 , 210.119873097
2455564.55809  , 85.2204189111 , 234.692551647 , 15.7595214276 , 210.132682943
2455564.57914  , 88.3486877225 , 241.18956305 , 16.2511916525 , 210.145493117
