            1      0.5667977899645E-03      0.1454311276577E-02           89.9675      0.1282918972451E+01      0.6414594862254E+00
            2      0.2984015283955E-02      0.3379899597873E-02           89.8290      0.5663341632409E+00      0.2831670816204E+00
            3      0.7322957975997E-02      0.5295274191826E-02           89.5804      0.3615529550478E+00      0.1807764775239E+00
            4      0.1356780744665E-01      0.7190411380728E-02           89.2226      0.2649805950224E+00      0.1324902975112E+00
            5      0.2169452237860E-01      0.9057780356742E-02           88.7569      0.2087573120687E+00      0.1043786560344E+00
            6      0.3167169052756E-01      0.1089012158506E-01           88.1850      0.1719220130606E+00      0.8596100653030E-01
            7      0.4346072167210E-01      0.1268033678501E-01           87.5091      0.1458827223427E+00      0.7294136117133E-01
            8      0.5701601023819E-01      0.1442149679027E-01           86.7315      0.1264688350695E+00      0.6323441753474E-01
            9      0.7228511528503E-01      0.1610686411179E-01           85.8548      0.1114120386215E+00      0.5570601931075E-01
           10      0.8920896457033E-01      0.1772991780757E-01           84.8819      0.9937296040240E-01      0.4968648020120E-01
           11      0.1077220835498E+00      0.1928437830629E-01           83.8160      0.8950986497294E-01      0.4475493248647E-01
           12      0.1277528488870E+00      0.2076423154507E-01           82.6602      0.8126719570632E-01      0.4063359785316E-01
           13      0.1492237656466E+00      0.2216375216940E-01           81.4181      0.7426347965877E-01      0.3713173982939E-01
           14      0.1720517671573E+00      0.2347752565197E-01           80.0929      0.6822808634832E-01      0.3411404317416E-01
           15      0.1961485364075E+00      0.2470046922473E-01           78.6882      0.6296368475933E-01      0.3148184237966E-01
           16      0.2214208477427E+00      0.2582785153479E-01           77.2075      0.5832298945221E-01      0.2916149472610E-01
           17      0.2477709275463E+00      0.2685531094450E-01           75.6544      0.5419382978151E-01      0.2709691489075E-01
           18      0.2750968325130E+00      0.2777887240311E-01           74.0322      0.5048926254321E-01      0.2524463127160E-01
           19      0.3032928440512E+00      0.2859496282386E-01           72.3445      0.4714084651967E-01      0.2357042325983E-01
           20      0.3322498772903E+00      0.2930042490661E-01           70.5946      0.4409395895880E-01      0.2204697947940E-01
           21      0.3618559031102E+00      0.2989252935213E-01           68.7858      0.4130446552785E-01      0.2065223276393E-01
           22      0.3919963815620E+00      0.3036898542089E-01           66.9212      0.3873630835554E-01      0.1936815417777E-01
           23      0.4225547050009E+00      0.3072794979516E-01           65.0040      0.3635972979533E-01      0.1817986489767E-01
           24      0.4534126492200E+00      0.3096803371034E-01           63.0372      0.3414994460743E-01      0.1707497230372E-01
           25      0.4844508308364E+00      0.3108830832767E-01           61.0235      0.3208613377131E-01      0.1604306688565E-01
           26      0.5155491691636E+00      0.3108830832767E-01           58.9658      0.3015067251307E-01      0.1507533625653E-01
           27      0.5465873507800E+00      0.3096803371034E-01           56.8668      0.2832853126417E-01      0.1416426563208E-01
           28      0.5774452949991E+00      0.3072794979516E-01           54.7289      0.2660680592714E-01      0.1330340296357E-01
           29      0.6080036184380E+00      0.3036898542089E-01           52.5547      0.2497434595776E-01      0.1248717297888E-01
           30      0.6381440968898E+00      0.2989252935213E-01           50.3464      0.2342145723656E-01      0.1171072861828E-01
           31      0.6677501227097E+00      0.2930042490661E-01           48.1063      0.2193966268977E-01      0.1096983134489E-01
           32      0.6967071559488E+00      0.2859496282386E-01           45.8366      0.2052150791025E-01      0.1026075395513E-01
           33      0.7249031674870E+00      0.2777887240311E-01           43.5392      0.1916040213992E-01      0.9580201069960E-02
           34      0.7522290724537E+00      0.2685531094450E-01           41.2162      0.1785048725709E-01      0.8925243628546E-02
           35      0.7785791522573E+00      0.2582785153479E-01           38.8693      0.1658652910235E-01      0.8293264551173E-02
           36      0.8038514635925E+00      0.2470046922473E-01           36.5005      0.1536382674129E-01      0.7681913370645E-02
           37      0.8279482328427E+00      0.2347752565197E-01           34.1115      0.1417813621714E-01      0.7089068108572E-02
           38      0.8507762343534E+00      0.2216375216940E-01           31.7038      0.1302560607270E-01      0.6512803036349E-02
           39      0.8722471511130E+00      0.2076423154507E-01           29.2792      0.1190272247870E-01      0.5951361239351E-02
           40      0.8922779164502E+00      0.1928437830629E-01           26.8391      0.1080626223667E-01      0.5403131118333E-02
           41      0.9107910354297E+00      0.1772991780757E-01           24.3851      0.9733252259784E-02      0.4866626129892E-02
           42      0.9277148847150E+00      0.1610686411179E-01           21.9186      0.8680934399763E-02      0.4340467199882E-02
           43      0.9429839897618E+00      0.1442149679027E-01           19.4411      0.7646734699022E-02      0.3823367349511E-02
           44      0.9565392783279E+00      0.1268033678501E-01           16.9540      0.6628236326674E-02      0.3314118163337E-02
           45      0.9683283094724E+00      0.1089012158506E-01           14.4586      0.5623155637676E-02      0.2811577818838E-02
           46      0.9783054776214E+00      0.9057780356742E-02           11.9564      0.4629321088319E-02      0.2314660544160E-02
           47      0.9864321925533E+00      0.7190411380728E-02            9.4490      0.3644655676796E-02      0.1822327838398E-02
           48      0.9926770420240E+00      0.5295274191826E-02            6.9382      0.2667168659924E-02      0.1333584329962E-02
           49      0.9970159847160E+00      0.3379899597873E-02            4.4274      0.1695007727903E-02      0.8475038639514E-03
           50      0.9994332022100E+00      0.1454311276577E-02            1.9292      0.7275680222357E-03      0.3637840111179E-03
