0.0	2207115.44561
5.0	2144783.41053
10.0	1931416.05965
15.0	1849904.93684
20.0	1785175.51579
25.0	1660511.44561
30.0	1804354.60351
35.0	1801957.21754
40.0	1732433.02456
45.0	1732433.02456
50.0	1842712.77895
55.0	1763599.04211
60.0	1703664.39298
65.0	1583795.09474
70.0	1418375.46316
75.0	1408785.9193
80.0	1293711.39298
85.0	1480707.49825
90.0	1346453.88421
95.0	1269737.53333
100.0	1370427.74386
105.0	1449541.4807
110.0	1507078.74386
115.0	1547834.30526
120.0	1583795.09474
125.0	1571808.16491
130.0	1427965.00702
135.0	1550231.69123
140.0	1754009.49825
145.0	2010529.79649
150.0	2607478.90175
155.0	2571518.11228
160.0	2219102.37544
165.0	2130399.09474
170.0	2190333.74386
175.0	1936210.83158
180.0	1746817.34035
185.0	1787572.90175
190.0	2662618.77895
195.0	3067777.00702
200.0	3573625.44561
205.0	4240098.74386
210.0	4220919.65614
215.0	5091170.7614
220.0	5479547.28772
225.0	6368977.4807
230.0	6225134.32281
235.0	6364182.70877
240.0	7097782.81404
245.0	6321029.7614
250.0	6340208.84912
255.0	5836757.79649
260.0	5340498.90175
265.0	4961711.9193
270.0	5472355.12982
275.0	5350088.44561
280.0	5484342.05965
285.0	4508605.97193
290.0	3988373.21754
295.0	3583214.98947
300.0	3444166.60351
305.0	3254773.11228
310.0	2947907.70877
315.0	3703084.28772
320.0	4460658.25263
325.0	3940425.49825
330.0	3664726.11228
335.0	3662328.72632
340.0	3209222.77895
345.0	2840025.34035
350.0	2626657.98947
355.0	2446854.04211
