0.0	2950305.09474
10.0	2828038.41053
20.0	2022516.72632
30.0	2600286.74386
40.0	2245473.62105
50.0	2010529.79649
60.0	1905044.81404
70.0	1830725.84912
80.0	1811546.7614
90.0	1653319.28772
100.0	1768393.81404
110.0	1694074.84912
120.0	1684485.30526
130.0	1749214.72632
140.0	1941005.60351
150.0	2144783.41053
160.0	2593094.58596
170.0	3465743.07719
180.0	3724660.7614
190.0	4153792.84912
200.0	3906862.09474
210.0	4942532.83158
220.0	5244603.46316
230.0	5867923.81404
240.0	6647074.25263
250.0	8140645.70877
260.0	7193678.25263
270.0	5930255.84912
280.0	5366870.14737
290.0	4719575.93684
300.0	3945220.27018
310.0	3700686.90175
320.0	5258987.77895
330.0	5697709.41053
340.0	5585032.27018
350.0	5237411.30526
