latitude,longitude,energy,wavelength
-90.0,0.0,-2.4547168663045637e-19,1050.0
-90.0,10.0,-2.4547168663045637e-19,1050.0
-90.0,20.0,-2.4547168663045637e-19,1050.0
-90.0,30.0,-2.4547168663045637e-19,1050.0
-90.0,40.0,-2.4547168663045637e-19,1050.0
-90.0,50.0,-2.4547168663045637e-19,1050.0
-90.0,60.0,-2.4547168663045637e-19,1050.0
-90.0,70.0,-2.4547168663045637e-19,1050.0
-90.0,80.0,-2.4547168663045637e-19,1050.0
-90.0,90.0,-2.4547168663045637e-19,1050.0
-90.0,100.0,-2.4547168663045637e-19,1050.0
-90.0,110.0,-2.4547168663045637e-19,1050.0
-90.0,120.0,-2.4547168663045637e-19,1050.0
-90.0,130.0,-2.4547168663045637e-19,1050.0
-90.0,140.0,-2.4547168663045637e-19,1050.0
-90.0,150.0,-2.4547168663045637e-19,1050.0
-90.0,160.0,-2.4547168663045637e-19,1050.0
-90.0,170.0,-2.4547168663045637e-19,1050.0
-90.0,180.0,-2.632714199053267e-11,1050.0
-90.0,190.0,-5.4852923241449245,1050.0
-90.0,200.0,10.981691555253276,1050.0
-90.0,210.0,-9.614569491957623,1050.0
-90.0,220.0,7.02004576254998,1050.0
-90.0,230.0,-4.743114551881442,1050.0
-90.0,240.0,3.2530628735923983,1050.0
-90.0,250.0,-4.0495827569010405,1050.0
-90.0,260.0,2.883862258050898,1050.0
-90.0,270.0,-1.389807660337406,1050.0
-90.0,280.0,3.100967452559939,1050.0
-90.0,290.0,-4.755149573580753,1050.0
-90.0,300.0,4.834121611676951,1050.0
-90.0,310.0,-5.850306389190369,1050.0
-90.0,320.0,1.1032495352969027,1050.0
-90.0,330.0,-2.1357737481442416,1050.0
-90.0,340.0,1.934025217116186,1050.0
-90.0,350.0,-0.4596868136674156,1050.0
-80.0,0.0,47.07364766439409,1050.0
-80.0,10.0,-3.864129679056937,1050.0
-80.0,20.0,0.48041221903058556,1050.0
-80.0,30.0,0.48041221903058556,1050.0
-80.0,40.0,0.48041221903058556,1050.0
-80.0,50.0,0.48041221903058556,1050.0
-80.0,60.0,0.48041221903058556,1050.0
-80.0,70.0,0.48041221903058556,1050.0
-80.0,80.0,0.48041221903058556,1050.0
-80.0,90.0,0.48041221903058556,1050.0
-80.0,100.0,0.48041221903058556,1050.0
-80.0,110.0,0.48041221903058556,1050.0
-80.0,120.0,0.48041221903058556,1050.0
-80.0,130.0,0.48041221903058556,1050.0
-80.0,140.0,0.48041221903058556,1050.0
-80.0,150.0,0.48041221903058556,1050.0
-80.0,160.0,-0.03397763421917693,1050.0
-80.0,170.0,-0.4936116999064524,1050.0
-80.0,180.0,-41.11929371135923,1050.0
-80.0,190.0,-6.87736182405151,1050.0
-80.0,200.0,-78.52277895249202,1050.0
-80.0,210.0,-81.1681608924189,1050.0
-80.0,220.0,16.833317093401234,1050.0
-80.0,230.0,-24.238511164863677,1050.0
-80.0,240.0,50.818262834072414,1050.0
-80.0,250.0,39.84354254369721,1050.0
-80.0,260.0,14.052846578313865,1050.0
-80.0,270.0,8.903309829772125,1050.0
-80.0,280.0,6.90736626599828,1050.0
-80.0,290.0,13.913886375606058,1050.0
-80.0,300.0,-6.330409351930795,1050.0
-80.0,310.0,-54.63120332969711,1050.0
-80.0,320.0,36.370721932646624,1050.0
-80.0,330.0,44.06210805697498,1050.0
-80.0,340.0,15.843109794725315,1050.0
-80.0,350.0,25.21940104303093,1050.0
-70.0,0.0,4.6634249284297535,1050.0
-70.0,10.0,-6.170678704503043,1050.0
-70.0,20.0,18.279704310708514,1050.0
-70.0,30.0,-16.828772697911877,1050.0
-70.0,40.0,-3.4969823419092654,1050.0
-70.0,50.0,-0.05081978166404119,1050.0
-70.0,60.0,-0.05081978166404119,1050.0
-70.0,70.0,-0.05081978166404119,1050.0
-70.0,80.0,-0.05081978166404119,1050.0
-70.0,90.0,-0.05081978166404119,1050.0
-70.0,100.0,-0.05081978166404119,1050.0
-70.0,110.0,-0.05081978166404119,1050.0
-70.0,120.0,-0.05081978166404119,1050.0
-70.0,130.0,-0.011433194219826094,1050.0
-70.0,140.0,-3.6687335176431453,1050.0
-70.0,150.0,-12.53659264088561,1050.0
-70.0,160.0,-17.58498664642426,1050.0
-70.0,170.0,37.370179398611334,1050.0
-70.0,180.0,-30.055746588677337,1050.0
-70.0,190.0,41.985722692965965,1050.0
-70.0,200.0,-29.41902877642858,1050.0
-70.0,210.0,20.32724836871042,1050.0
-70.0,220.0,17.00017128358063,1050.0
-70.0,230.0,4.780245628007867,1050.0
