#date (JD)	SZA (deg)	Az (deg)	LTST (hrs) 	Ls (deg) 
2455495.31336  , 89.0001276072 , 82.9687006162 , 6.37937665933 , 170.062673394
2455495.33441  , 83.8562333325 , 77.69768952 , 6.87115877252 , 170.074179443
2455495.35547  , 78.8160850308 , 72.2753697876 , 7.36294086915 , 170.085685913
2455495.37652  , 73.9296055682 , 66.6148296656 , 7.85472294897 , 170.097192802
2455495.39757  , 69.2537042929 , 60.6267570426 , 8.34650502268 , 170.108700112
2455495.41862  , 64.8546738912 , 54.2207609568 , 8.83828706885 , 170.120207841
2455495.43968  , 60.8101968873 , 47.3102012535 , 9.33006909818 , 170.13171599
2455495.46073  , 57.210239618 , 39.8222816727 , 9.82185111043 , 170.143224559
2455495.48178  , 54.1555906092 , 31.7147663708 , 10.3136331061 , 170.154733547
2455495.50283  , 51.7524141857 , 22.998385123 , 10.8054150848 , 170.166242956
2455495.52389  , 50.1015511056 , 13.7588909519 , 11.2971970465 , 170.177752785
2455495.54494  , 49.2831941062 , 4.16651933157 , 11.7889789915 , 170.189263033
2455495.56599  , 49.3408979682 , 354.459677962 , 12.2807609196 , 170.200773702
2455495.58705  , 50.2714339254 , 344.900870819 , 12.7725428308 , 170.21228479
2455495.6081  , 52.0255698969 , 335.721516749 , 13.2643247251 , 170.223796298
2455495.62915  , 54.5193627264 , 327.080970079 , 13.7561066022 , 170.235308227
2455495.6502  , 57.6504066519 , 319.05409788 , 14.2478884626 , 170.246820575
2455495.67126  , 61.3126941 , 311.643240109 , 14.7396703061 , 170.258333344
2455495.69231  , 65.4065955596 , 304.800896321 , 15.2314521324 , 170.269846532
2455495.71336  , 69.843683788 , 298.451587767 , 15.723233942 , 170.28136014
2455495.73441  , 74.5477919318 , 292.507676767 , 16.2150157453 , 170.292874169
2455495.75547  , 79.4539091975 , 286.87866578 , 16.7067975209 , 170.304388617
2455495.77652  , 84.5060874169 , 281.475469288 , 17.1985792796 , 170.315903486
2455495.79757  , 89.6550192402 , 276.211389895 , 17.690361021 , 170.327418774
